재산피해금액,화재발생일자,화재진압시간,현장소방서거리,발생장소_시도,발생장소_시군구,발생장소_읍면,읍면동구분명,발화원인,발화열원명,발화요인소분류명,발화요인대분류명,발화열원소분류명,최초착화물대분류명,전체인력수합계,날씨,온도,습도,시간단위풍속,시간단위풍향,특보내용,발생일시_요일,진화종료시간_년,진화종료시간_월,진화종료시간_일,진화종료시간_시간,발생장소_관서,발생장소_동리,발생원인_구분,발생원인_세부원인,발생원인_기타,피해면적_합계,산림면적,계절,물가상승배수
0,20180805,11212,30,강원,강릉,왕산,고단리,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,131,구름조금,27,71,0,4,,일,2018,8,5,19:33,강원,고단,입,기타(직접입력),입산자 실화추정,0.02,"37,109",여름,0.976
0,20180815,40729,26,강원,횡성,안흥,상안리,입산자실화,담뱃불/라이터불,담뱃불/라이터불,부주의,부주의,종이/목재/건초등,106,맑음,32,79,90,4,,수,2018,8,15,14:00,강원,상안,입,기타(직접입력),입산자 실화,0.25,"44,302",여름,0.976
64,20180817,63115,10,강원,춘천,동,월곡리,입산자실화,미상,미상,부주의,부주의,종이/목재/건초등,232,맑음,29,34,135,4,,금,2018,8,17,18:20,강원,월곡,입,기타(직접입력),입산자 실화추정,9.4,"51,062",여름,1
0,20190823,11830,33,강원,횡성,서원,석화리,입산자실화,담뱃불/라이터불,라이터불/성냥불,부주의,불씨/불꽃/화원방치,종이/목재/건초등,106,맑음,27,60,180,4,,금,2019,8,23,14:15,강원,석화,기,작업장실화,,0.22,"44,302",여름,1
0,20140920,40800,48,강원,화천,화천,동촌리,미상,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,122,맑음,25,0,135,4,,토,2014,9,20,18:40,강원,동촌,입,기타(직접입력),입산자실화 추정,0.25,"31,898",가을,1
0,20150925,11833,28,강원,횡성,강림,강림리,성묘객,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,99,구름조금,22,61,45,4,,금,2015,9,25,15:48,강원,강림,기,성묘객 실화추정,,0.03,"44,302",가을,1
0,20150927,4819,25,강원,춘천,사북,원평리,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,55,맑음,22,50,270,4,,공,2015,9,27,14:10,강원,원평,입,입산자 실화추정,,0.01,"51,062",가을,1
0,20150929,13302,25,강원,원주,문막,비두리,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,26,구름조금,28,39,45,8,,공,2015,9,29,16:50,강원,비두,입,입산자 실화추정,,0.05,"52,252",가을,1
0,20160920,20143,25,강원,춘천,사북,,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,52,구름조금,23,35,45,4,,화,2016,9,20,16:30,북부,고성,입,기타(직접입력),입산자 실화추정,0.01,"51,062",가을,1
0,20121014,4738,9,강원,속초,설악,,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,50,맑음,20,51,315,4,,일,2012,10,14,15:15,강원,,입,입산자실화,,0.01,"6,235",가을,1
0,20121021,13105,17,강원,원주,문막,포진리,미상,미상,미상,미상,미상,종이/목재/건초등,28,맑음,21,52,180,4,,일,2012,10,21,15:05,강원,포진,입,입산자실화,,0.03,"52,641",가을,1
